kod;isimler (| ile ayrılmış: jenerik, Türkçe, İngilizce, marka);DURUM (onay/düzelt/sil);NOTUNUZ
warfarin;warfarin | varfarin | coumadin | kumadin | orfarin;;
acetylsalicylic-acid;aspirin | asetilsalisilik asit | acetylsalicylic acid | coraspin | ecopirin;;
ibuprofen;ibuprofen | ibufen | brufen | advil | nurofen;;
naproxen;naproksen | naproxen | apranax;;
paracetamol;parasetamol | paracetamol | acetaminophen | parol | panadol | calpol;;
amoxicillin;amoksisilin | amoxicillin | largopen;;
amoxicillin-clavulanate;amoklavin | augmentin | amoksisilin klavulanat | amoxicillin clavulanate;;
clarithromycin;klaritromisin | clarithromycin | klacid | macrol;;
ciprofloxacin;siprofloksasin | ciprofloxacin | cipro;;
metronidazole;metronidazol | metronidazole | flagyl;;
omeprazole;omeprazol | omeprazole | losec;;
clopidogrel;klopidogrel | clopidogrel | plavix;;
enoxaparin;enoksaparin | enoxaparin | clexane;;
tramadol;tramadol | contramal;;
codeine;kodein | codeine;;
sertraline;sertralin | sertraline | lustral;;
metformin;metformin | glucophage | glifor;;
levothyroxine;levotiroksin | levothyroxine | euthyrox | tefor;;
oral-contraceptive;doğum kontrol hapı | oral kontraseptif | oral contraceptive | yasmin | diane;;
simvastatin;simvastatin | zocor;;
atorvastatin;atorvastatin | atorvastatin kalsiyum | lipitor | ator;;
rivaroxaban;rivaroksaban | rivaroxaban | xarelto;;
apixaban;apiksaban | apixaban | eliquis;;
dabigatran;dabigatran | pradaxa;;
diclofenac;diklofenak | diclofenac | voltaren | dolorex | cataflam;;
metamizole;metamizol | dipiron | novalgin | noval | metamizole;;
morphine;morfin | morphine;;
pethidine;petidin | pethidine | aldolan | meperidine;;
cefazolin;sefazolin | cefazolin | cezol | iespor;;
levofloxacin;levofloksasin | levofloxacin | tavanic;;
fluconazole;flukonazol | fluconazole | diflucan | flucan;;
linezolid;linezolid | zyvoxid;;
pantoprazole;pantoprazol | pantoprazole | pantpas | controloc;;
ondansetron;ondansetron | zofer | zofran;;
metoclopramide;metoklopramid | metoclopramide | metpamid;;
domperidone;domperidon | domperidone | motilium;;
escitalopram;essitalopram | escitalopram | cipralex;;
fluoxetine;fluoksetin | fluoxetine | prozac;;
venlafaxine;venlafaksin | venlafaxine | efexor;;
lithium;lityum | lithium | lithuril;;
amiodarone;amiodaron | amiodarone | cordarone;;
digoxin;digoksin | digoxin | lanoxin;;
spironolactone;spironolakton | spironolactone | aldactone;;
lisinopril;lisinopril | zestril;;
losartan;losartan | cozaar;;
prednisolone;prednizolon | prednisolone | metilprednizolon | prednol;;
tamoxifen;tamoksifen | tamoxifen | nolvadex;;
isotretinoin;izotretinoin | isotretinoin | roaccutane | aknetrent;;
sumatriptan;sumatriptan | imigran;;
st-johns-wort;sarı kantaron | st john's wort | st johns wort | hypericum;;
ginkgo;ginkgo | ginkgo biloba | gingko;;
semaglutide;semaglutid | semaglutide | ozempic | wegovy;;
insulin;insülin | insulin | lantus | novorapid | humalog;;
