bilesen_1;bilesen_2;siddet (CONTRAINDICATED/MAJOR/MODERATE/MINOR);klinisyene gosterilecek not;DURUM (onay/düzelt/sil);NOTUNUZ
warfarin;acetylsalicylic-acid;MAJOR;"Kanama riski belirgin artar; birlikte kullanım yakın INR takibi gerektirir.";;
warfarin;ibuprofen;MAJOR;NSAİİ ile birlikte kanama ve gastrointestinal ülser riski artar.;;
warfarin;naproxen;MAJOR;NSAİİ ile birlikte kanama riski artar.;;
warfarin;clarithromycin;MAJOR;"Klaritromisin varfarin etkisini artırır; INR yükselebilir.";;
warfarin;metronidazole;MAJOR;Metronidazol varfarin etkisini belirgin artırır.;;
warfarin;ciprofloxacin;MODERATE;"Siprofloksasin varfarin etkisini artırabilir; INR izlenmeli.";;
clopidogrel;omeprazole;MODERATE;Omeprazol klopidogrelin etkinliğini azaltabilir.;;
clopidogrel;acetylsalicylic-acid;MODERATE;"İkili antiagregan tedavi kanama riskini artırır; bilinçli verilmiş olabilir.";;
enoxaparin;acetylsalicylic-acid;MAJOR;Antikoagülan ve antiagregan birlikte kanama riskini belirgin artırır.;;
enoxaparin;ibuprofen;MAJOR;NSAİİ ile birlikte kanama riski artar.;;
ibuprofen;naproxen;MODERATE;"İki NSAİİ birlikte; yarar artmaz, gastrointestinal risk artar.";;
ibuprofen;acetylsalicylic-acid;MODERATE;İbuprofen aspirinin antiagregan etkisini azaltabilir.;;
clarithromycin;simvastatin;CONTRAINDICATED;"Rabdomiyoliz riski; birlikte kullanılmamalıdır.";;
tramadol;sertraline;MAJOR;Serotonin sendromu riski.;;
tramadol;codeine;MODERATE;"İki opioid birlikte; solunum depresyonu riski artar.";;
clarithromycin;oral-contraceptive;MINOR;"Oral kontraseptif etkinliği azalabilir; ek korunma önerilir.";;
amoxicillin;oral-contraceptive;MINOR;"Oral kontraseptif etkinliği azalabilir; ek korunma önerilir.";;
levothyroxine;omeprazole;MINOR;Mide asidi azalınca levotiroksin emilimi düşebilir.;;
rivaroxaban;acetylsalicylic-acid;MAJOR;Antikoagülan ve antiagregan birlikte kanama riskini belirgin artırır.;;
rivaroxaban;ibuprofen;MAJOR;NSAİİ ile birlikte kanama riski artar.;;
rivaroxaban;diclofenac;MAJOR;NSAİİ ile birlikte kanama riski artar.;;
rivaroxaban;clarithromycin;MAJOR;"Klaritromisin rivaroksaban düzeyini yükseltir; kanama riski artar.";;
rivaroxaban;fluconazole;MAJOR;Flukonazol rivaroksaban düzeyini yükseltebilir.;;
rivaroxaban;enoxaparin;MAJOR;"İki antikoagülan birlikte; planlı geçiş dışında kullanılmamalıdır.";;
warfarin;rivaroxaban;MAJOR;"İki antikoagülan birlikte; yalnız planlı geçişte ve yakın takiple.";;
apixaban;acetylsalicylic-acid;MAJOR;Antikoagülan ve antiagregan birlikte kanama riskini belirgin artırır.;;
apixaban;ibuprofen;MAJOR;NSAİİ ile birlikte kanama riski artar.;;
apixaban;clarithromycin;MAJOR;"Klaritromisin apiksaban düzeyini yükseltir; kanama riski artar.";;
dabigatran;acetylsalicylic-acid;MAJOR;Antikoagülan ve antiagregan birlikte kanama riskini belirgin artırır.;;
dabigatran;ibuprofen;MAJOR;NSAİİ ile birlikte kanama riski artar.;;
dabigatran;clopidogrel;MAJOR;"İkili kanama riski; birlikte kullanım bilinçli bir karar olmalı.";;
warfarin;diclofenac;MAJOR;NSAİİ ile birlikte kanama ve gastrointestinal ülser riski artar.;;
diclofenac;ibuprofen;MODERATE;"İki NSAİİ birlikte; yarar artmaz, gastrointestinal risk artar.";;
diclofenac;naproxen;MODERATE;"İki NSAİİ birlikte; yarar artmaz, gastrointestinal risk artar.";;
diclofenac;prednisolone;MODERATE;NSAİİ ve kortikosteroid birlikte ülser riskini belirgin artırır.;;
ibuprofen;prednisolone;MODERATE;NSAİİ ve kortikosteroid birlikte ülser riskini belirgin artırır.;;
diclofenac;lisinopril;MODERATE;NSAİİ, ACE inhibitörünün etkisini azaltır ve böbrek fonksiyonunu bozabilir.;;
ibuprofen;lisinopril;MODERATE;NSAİİ, ACE inhibitörünün etkisini azaltır ve böbrek fonksiyonunu bozabilir.;;
diclofenac;lithium;MAJOR;"NSAİİ lityum düzeyini yükseltir; toksisite riski.";;
lisinopril;spironolactone;MODERATE;"Birlikte hiperkalemi riski; potasyum izlenmeli.";;
losartan;spironolactone;MODERATE;"Birlikte hiperkalemi riski; potasyum izlenmeli.";;
tramadol;escitalopram;MAJOR;Serotonin sendromu riski.;;
tramadol;fluoxetine;MAJOR;"Serotonin sendromu riski; fluoksetin ayrıca tramadolün etkisini azaltabilir.";;
tramadol;venlafaxine;MAJOR;Serotonin sendromu ve nöbet riski.;;
ondansetron;tramadol;MODERATE;"Serotonin sendromu riski; ondansetron tramadolün ağrı kesici etkisini de azaltabilir.";;
sumatriptan;sertraline;MODERATE;Serotonin sendromu riski.;;
sumatriptan;escitalopram;MODERATE;Serotonin sendromu riski.;;
linezolid;sertraline;CONTRAINDICATED;"Serotonin sendromu; birlikte kullanılmamalıdır.";;
