ulke_kodu;simdiki numara;DOGRU MU? (evet/hayır);DOGRUSU;kaynak (hangi resmi siteden baktınız)
TR;112;;;
DE;112;;;
GB;999;;;
NL;112;;;
FR;112;;;
BE;112;;;
AT;112;;;
CH;112;;;
SE;112;;;
NO;112;;;
DK;112;;;
RU;103;;;
UA;103;;;
KZ;103;;;
AZ;103;;;
RO;112;;;
BG;112;;;
IT;112;;;
ES;112;;;
PL;112;;;
US;911;;;
CA;911;;;
IQ;122;;;
SA;997;;;
AE;998;;;
KW;112;;;
QA;999;;;
OM;9999;;;
BH;998;;;
JO;911;;;
LB;140;;;
IL;101;;;
EG;123;;;
LY;193;;;
DZ;14;;;
MA;150;;;
TN;190;;;
IR;115;;;
IN;112;;;
PK;1122;;;
BD;999;;;
CN;120;;;
JP;119;;;
KR;119;;;
AU;000;;;
NZ;111;;;
BR;192;;;
AR;107;;;
ZA;10177;;;
NG;112;;;
KE;999;;;
GR;112;;;
MD;112;;;
RS;112;;;
MK;112;;;
AL;112;;;
BA;112;;;
GE;112;;;
UZ;103;;;
BY;103;;;
HU;112;;;
CZ;112;;;
SK;112;;;
SI;112;;;
HR;112;;;
FI;112;;;
IE;112;;;
PT;112;;;
LT;112;;;
LV;112;;;
EE;112;;;
MT;112;;;
CY;112;;;
LU;112;;;
IS;112;;;
TH;1669;;;
SG;995;;;
MY;999;;;
ID;119;;;
PH;911;;;
VN;115;;;
